customer_id,first_name,last_name,email,city,signup_date,customer_segment
1,Matthew,Stephenson,matthew.stephenson@email.com,Liverpool,2026-06-07,Standard
2,Blake,Hernandez,blake.hernandez@email.com,Liverpool,2024-10-30,Premium
3,Matthew,Oliver,matthew.oliver@email.com,Cardiff,2024-09-16,Premium
4,Rachel,Chaney,rachel.chaney@email.com,Bristol,2024-10-09,Standard
5,Mark,Allen,mark.allen@email.com,Glasgow,2025-04-15,Premium
6,Patrick,Yang,patrick.yang@email.com,Sheffield,2025-06-24,Standard
7,Michael,Reynolds,michael.reynolds@email.com,Bristol,2024-07-20,Premium
8,Erika,Green,erika.green@email.com,Bristol,2026-01-22,Premium
9,David,Peterson,david.peterson@email.com,Edinburgh,2025-05-24,Enterprise
10,Joseph,Mitchell,joseph.mitchell@email.com,Leeds,2025-06-24,Enterprise
11,Charles,Wright,charles.wright@email.com,Bristol,2025-10-21,Standard
12,Timothy,Brady,timothy.brady@email.com,Liverpool,2025-08-29,Premium
13,David,Ellison,david.ellison@email.com,Cardiff,2025-02-03,Premium
14,Kathleen,Anderson,kathleen.anderson@email.com,Bristol,2024-08-17,Enterprise
15,Kimberly,Stanley,kimberly.stanley@email.com,Sheffield,2025-02-10,Standard
16,Amanda,Perkins,amanda.perkins@email.com,London,2024-08-30,Premium
17,Christopher,Zimmerman,christopher.zimmerman@email.com,Liverpool,2025-02-14,Enterprise
18,Francisco,Smith,francisco.smith@email.com,Liverpool,2024-10-05,Enterprise
19,Anthony,Burns,anthony.burns@email.com,London,2025-05-23,Standard
20,Carl,Barnes,carl.barnes@email.com,London,2025-11-20,Standard
21,James,Olson,james.olson@email.com,Edinburgh,2025-01-01,Standard
22,Allison,Rosales,allison.rosales@email.com,Manchester,2026-01-10,Premium
23,Deborah,Dean,deborah.dean@email.com,Manchester,2025-03-27,Standard
24,Monica,Anthony,monica.anthony@email.com,Glasgow,2025-02-27,Standard
25,Amanda,Jordan,amanda.jordan@email.com,Edinburgh,2025-04-09,Enterprise
26,Stephanie,Taylor,stephanie.taylor@email.com,Cardiff,2025-02-06,Standard
27,Ashley,Clark,ashley.clark@email.com,Bristol,2024-09-22,Standard
28,Natasha,Morris,natasha.morris@email.com,Edinburgh,2024-12-28,Premium
29,David,Deleon,david.deleon@email.com,Bristol,2024-09-02,Standard
30,Emily,Johnson,emily.johnson@email.com,Sheffield,2025-02-03,Standard
31,Ryan,Martinez,ryan.martinez@email.com,Glasgow,2026-04-06,Enterprise
32,Krista,Sanchez,krista.sanchez@email.com,London,2026-02-26,Premium
33,Crystal,Landry,crystal.landry@email.com,Liverpool,2025-04-21,Standard
34,Desiree,Hanna,desiree.hanna@email.com,Cardiff,2026-04-06,Enterprise
35,Gary,Garcia,gary.garcia@email.com,Bristol,2025-08-10,Standard
36,Anthony,Lopez,anthony.lopez@email.com,Edinburgh,2025-05-09,Enterprise
37,Clayton,Dean,clayton.dean@email.com,Liverpool,2025-02-03,Standard
38,Lindsey,Hayes,lindsey.hayes@email.com,Edinburgh,2025-12-21,Premium
39,Christine,Wilson,christine.wilson@email.com,Edinburgh,2024-08-04,Enterprise
40,Chelsea,Larson,chelsea.larson@email.com,Glasgow,2025-12-18,Standard
41,Blake,Griffith,blake.griffith@email.com,Leeds,2025-10-13,Standard
42,David,Gray,david.gray@email.com,Edinburgh,2025-12-02,Enterprise
43,Tracy,Gray,tracy.gray@email.com,Leeds,2024-08-10,Enterprise
44,Anthony,Ross,anthony.ross@email.com,Birmingham,2025-11-27,Standard
45,Lauren,Pollard,lauren.pollard@email.com,Birmingham,2025-03-25,Enterprise
46,Sherry,Jenkins,sherry.jenkins@email.com,Edinburgh,2026-04-21,Premium
47,Melissa,Martin,melissa.martin@email.com,Cardiff,2025-08-13,Standard
48,Amanda,Nelson,amanda.nelson@email.com,Sheffield,2026-04-23,Enterprise
49,Laura,Sanders,laura.sanders@email.com,Leeds,2025-01-31,Enterprise
50,Pamela,Williams,pamela.williams@email.com,Liverpool,2025-06-24,Standard
51,Charlene,Armstrong,charlene.armstrong@email.com,Leeds,2024-07-26,Standard
52,Clayton,Bass,clayton.bass@email.com,Birmingham,2026-06-16,Enterprise
53,Jennifer,Spence,jennifer.spence@email.com,Liverpool,2025-06-08,Premium
54,Ryan,Reyes,ryan.reyes@email.com,Cardiff,2025-09-01,Standard
55,Johnny,Wallace,johnny.wallace@email.com,Manchester,2025-03-06,Enterprise
56,Dennis,Gonzalez,dennis.gonzalez@email.com,Sheffield,2025-09-02,Premium
57,Madeline,Johns,madeline.johns@email.com,Birmingham,2025-01-21,Enterprise
58,David,Rodgers,david.rodgers@email.com,Edinburgh,2026-03-29,Standard
59,Nancy,Vaughan,nancy.vaughan@email.com,Birmingham,2026-02-02,Enterprise
60,Cesar,Simpson,cesar.simpson@email.com,Cardiff,2025-06-21,Enterprise
61,Anthony,Strickland,anthony.strickland@email.com,Cardiff,2025-05-30,Standard
62,Teresa,Ryan,teresa.ryan@email.com,Edinburgh,2026-04-19,Standard
63,Margaret,King,margaret.king@email.com,London,2024-07-10,Premium
64,Melissa,Thomas,melissa.thomas@email.com,Cardiff,2024-12-13,Standard
65,Jason,Downs,jason.downs@email.com,Sheffield,2025-01-15,Premium
66,Mark,Howard,mark.howard@email.com,Cardiff,2024-09-15,Premium
67,Sherry,Garcia,sherry.garcia@email.com,Liverpool,2025-06-03,Enterprise
68,Debra,Leonard,debra.leonard@email.com,Edinburgh,2024-12-24,Standard
69,Troy,Good,troy.good@email.com,Bristol,2024-12-04,Standard
70,Alexander,Hogan,alexander.hogan@email.com,Bristol,2024-09-24,Standard
71,Antonio,Ferrell,antonio.ferrell@email.com,Bristol,2025-06-13,Premium
72,Steven,Martin,steven.martin@email.com,Birmingham,2025-03-16,Premium
73,Willie,Hamilton,willie.hamilton@email.com,Glasgow,2024-09-30,Premium
74,Megan,Jacobs,megan.jacobs@email.com,Birmingham,2026-05-31,Enterprise
75,Briana,Whitehead,briana.whitehead@email.com,Edinburgh,2025-03-16,Premium
76,Steven,Bryant,steven.bryant@email.com,Bristol,2025-08-28,Standard
77,Adam,Thompson,adam.thompson@email.com,Liverpool,2025-12-11,Enterprise
78,Anthony,King,anthony.king@email.com,Manchester,2026-01-29,Premium
79,Richard,Herman,richard.herman@email.com,Sheffield,2025-11-24,Standard
80,Alyssa,Mata,alyssa.mata@email.com,Edinburgh,2025-10-29,Enterprise
81,Beth,Schmidt,beth.schmidt@email.com,London,2025-02-23,Standard
82,Brandon,Cruz,brandon.cruz@email.com,Sheffield,2025-02-02,Premium
83,Stacey,Bishop,stacey.bishop@email.com,Birmingham,2025-11-14,Premium
84,Joshua,Parker,joshua.parker@email.com,Sheffield,2025-06-10,Standard
85,Theresa,Bruce,theresa.bruce@email.com,Leeds,2026-06-04,Enterprise
86,Tracy,Walker,tracy.walker@email.com,Edinburgh,2025-09-03,Standard
87,Ashley,Hughes,ashley.hughes@email.com,Liverpool,2025-08-31,Enterprise
88,Jason,Thomas,jason.thomas@email.com,Bristol,2026-04-22,Premium
89,Stacy,Richards,stacy.richards@email.com,Manchester,2025-08-07,Standard
90,Timothy,Irwin,timothy.irwin@email.com,Liverpool,2025-04-22,Premium
91,Eric,Colon,eric.colon@email.com,Cardiff,2024-10-14,Premium
92,Paul,Miller,paul.miller@email.com,Edinburgh,2026-02-17,Premium
93,Kendra,Mathis,kendra.mathis@email.com,Glasgow,2025-01-13,Premium
94,Michael,Butler,michael.butler@email.com,Cardiff,2024-10-10,Standard
95,Sara,Garcia,sara.garcia@email.com,Cardiff,2025-05-04,Enterprise
96,Michael,Davis,michael.davis@email.com,Liverpool,2026-04-27,Premium
97,Brandon,Buck,brandon.buck@email.com,Edinburgh,2025-05-15,Enterprise
98,Stephen,Chapman,stephen.chapman@email.com,Sheffield,2025-02-03,Premium
99,Kathryn,Randolph,kathryn.randolph@email.com,Liverpool,2024-08-17,Enterprise
100,April,Ward,april.ward@email.com,Bristol,2025-04-28,Enterprise
101,Patricia,Butler,patricia.butler@email.com,Sheffield,2024-10-01,Premium
102,Margaret,Norman,margaret.norman@email.com,Manchester,2024-12-14,Premium
103,Sara,Salazar,sara.salazar@email.com,Glasgow,2026-06-07,Standard
104,Brandon,Jackson,brandon.jackson@email.com,Manchester,2025-03-02,Enterprise
105,Elijah,Anderson,elijah.anderson@email.com,Birmingham,2025-01-16,Standard
106,Jason,Wagner,jason.wagner@email.com,Sheffield,2026-04-01,Premium
107,Carlos,Meyers,carlos.meyers@email.com,Glasgow,2024-10-09,Standard
108,Crystal,Merritt,crystal.merritt@email.com,Edinburgh,2025-11-08,Standard
109,Lance,Wood,lance.wood@email.com,Leeds,2025-11-13,Premium
110,Jessica,Gilbert,jessica.gilbert@email.com,Sheffield,2025-08-24,Standard
111,Denise,Jackson,denise.jackson@email.com,Liverpool,2024-09-11,Standard
112,Amy,Turner,amy.turner@email.com,Liverpool,2025-01-28,Enterprise
113,Anthony,Simpson,anthony.simpson@email.com,London,2025-10-30,Standard
114,Erin,Henderson,erin.henderson@email.com,Birmingham,2024-10-30,Enterprise
115,Rebecca,Sutton,rebecca.sutton@email.com,Manchester,2025-09-26,Enterprise
116,John,Collins,john.collins@email.com,Liverpool,2025-01-12,Standard
117,Spencer,Garcia,spencer.garcia@email.com,Glasgow,2026-04-05,Standard
118,Frank,Snyder,frank.snyder@email.com,Birmingham,2026-05-13,Premium
119,Valerie,Kim,valerie.kim@email.com,London,2025-12-17,Enterprise
120,Richard,Clark,richard.clark@email.com,Birmingham,2025-01-11,Premium
121,Yesenia,Beasley,yesenia.beasley@email.com,Leeds,2024-10-18,Premium
122,Dennis,Harris,dennis.harris@email.com,Glasgow,2024-08-10,Enterprise
123,Elizabeth,Lamb,elizabeth.lamb@email.com,Edinburgh,2024-08-16,Standard
124,Erin,Phillips,erin.phillips@email.com,Leeds,2025-08-04,Standard
125,Mary,Palmer,mary.palmer@email.com,Glasgow,2026-04-26,Standard
126,Jacob,Page,jacob.page@email.com,Sheffield,2025-12-16,Enterprise
127,Cindy,Williams,cindy.williams@email.com,Edinburgh,2025-05-29,Standard
128,Raymond,Ward,raymond.ward@email.com,Edinburgh,2025-09-06,Standard
129,Andrew,Wheeler,andrew.wheeler@email.com,Liverpool,2025-04-14,Standard
130,William,Grant,william.grant@email.com,Edinburgh,2025-11-07,Premium
131,Joseph,Robinson,joseph.robinson@email.com,Liverpool,2026-05-28,Standard
132,Crystal,Sawyer,crystal.sawyer@email.com,Manchester,2026-05-22,Standard
133,Stacey,Taylor,stacey.taylor@email.com,Manchester,2024-10-31,Standard
134,Manuel,Montgomery,manuel.montgomery@email.com,Cardiff,2024-07-04,Enterprise
135,Brenda,Harris,brenda.harris@email.com,Bristol,2024-11-22,Standard
136,James,Foster,james.foster@email.com,London,2025-02-22,Standard
137,Justin,Gentry,justin.gentry@email.com,Liverpool,2025-03-17,Premium
138,Thomas,Ramirez,thomas.ramirez@email.com,Cardiff,2025-12-12,Premium
139,Nathaniel,Evans,nathaniel.evans@email.com,Leeds,2025-02-26,Standard
140,Douglas,Davis,douglas.davis@email.com,Edinburgh,2025-10-24,Standard
141,Keith,Edwards,keith.edwards@email.com,Edinburgh,2026-06-29,Standard
142,Joseph,Padilla,joseph.padilla@email.com,Bristol,2026-06-25,Premium
143,Elizabeth,Fields,elizabeth.fields@email.com,Birmingham,2025-01-18,Standard
144,Meredith,Hall,meredith.hall@email.com,Manchester,2024-07-11,Enterprise
145,Charlene,Clark,charlene.clark@email.com,Sheffield,2025-02-17,Enterprise
146,Renee,Hernandez,renee.hernandez@email.com,Bristol,2025-05-09,Enterprise
147,Craig,Jones,craig.jones@email.com,Leeds,2025-07-03,Premium
148,William,Campbell,william.campbell@email.com,Leeds,2026-05-19,Premium
149,Annette,Wood,annette.wood@email.com,Manchester,2026-03-11,Enterprise
150,John,Chang,john.chang@email.com,Birmingham,2025-04-12,Standard
151,Paul,Davis,paul.davis@email.com,Glasgow,2025-07-29,Premium
152,Nathan,Bennett,nathan.bennett@email.com,London,2025-11-20,Premium
153,Joseph,Mccarthy,joseph.mccarthy@email.com,Sheffield,2025-02-08,Premium
154,Dean,Hunter,dean.hunter@email.com,Bristol,2025-08-31,Enterprise
155,Brian,Goodman,brian.goodman@email.com,Leeds,2025-12-12,Enterprise
156,Brian,Neal,brian.neal@email.com,Edinburgh,2025-07-13,Standard
157,Stacy,Adams,stacy.adams@email.com,Leeds,2025-01-24,Enterprise
158,Kiara,Schneider,kiara.schneider@email.com,Manchester,2025-01-04,Standard
159,Michelle,Smith,michelle.smith@email.com,Bristol,2024-07-15,Enterprise
160,Paul,Medina,paul.medina@email.com,Sheffield,2025-10-24,Standard
161,Benjamin,Sandoval,benjamin.sandoval@email.com,London,2025-10-24,Enterprise
162,Damon,Hopkins,damon.hopkins@email.com,Leeds,2025-08-14,Premium
163,Caitlyn,Gross,caitlyn.gross@email.com,Liverpool,2025-10-28,Enterprise
164,Jennifer,Phillips,jennifer.phillips@email.com,Cardiff,2025-11-20,Standard
165,Steven,Wood,steven.wood@email.com,Sheffield,2026-04-12,Premium
166,Eric,Diaz,eric.diaz@email.com,Birmingham,2024-08-11,Enterprise
167,Frank,Robinson,frank.robinson@email.com,Glasgow,2025-06-10,Enterprise
168,Carolyn,Davis,carolyn.davis@email.com,Glasgow,2026-03-24,Enterprise
169,Amy,Cox,amy.cox@email.com,Cardiff,2024-10-18,Standard
170,Jennifer,Wilson,jennifer.wilson@email.com,Cardiff,2026-05-24,Premium
171,Stephanie,Valencia,stephanie.valencia@email.com,Liverpool,2025-05-25,Standard
172,Timothy,Johnson,timothy.johnson@email.com,Liverpool,2026-03-22,Standard
173,Cheryl,Benton,cheryl.benton@email.com,Manchester,2025-07-14,Enterprise
174,Cheryl,Hines,cheryl.hines@email.com,Manchester,2025-12-13,Standard
175,David,Green,david.green@email.com,Manchester,2025-01-16,Premium
176,Nancy,Jefferson,nancy.jefferson@email.com,Edinburgh,2025-06-14,Standard
177,Brian,Cochran,brian.cochran@email.com,Cardiff,2025-02-03,Enterprise
178,Donna,Duarte,donna.duarte@email.com,London,2024-10-21,Enterprise
179,Cynthia,Robinson,cynthia.robinson@email.com,Bristol,2026-01-04,Standard
180,Mary,George,mary.george@email.com,Liverpool,2026-04-20,Standard
181,Morgan,Phillips,morgan.phillips@email.com,Cardiff,2025-01-25,Enterprise
182,Rachel,Hall,rachel.hall@email.com,Cardiff,2024-11-02,Premium
183,Peter,Jones,peter.jones@email.com,London,2024-08-12,Standard
184,Cynthia,Brown,cynthia.brown@email.com,Bristol,2025-02-23,Standard
185,Patricia,Bonilla,patricia.bonilla@email.com,Sheffield,2026-05-01,Standard
186,James,Pitts,james.pitts@email.com,Leeds,2024-09-17,Premium
187,Tyler,Bailey,tyler.bailey@email.com,London,2026-05-06,Enterprise
188,Daniel,Horton,daniel.horton@email.com,Birmingham,2026-06-02,Premium
